Dataset,Model,Batch_Size,Optimizer,Learning_Rate,Epochs,Test_Accuracy_%,Avg_Train_Time_s
MNIST,resnet18,16,SGD,0.001,3,98.81,37.2
MNIST,resnet18,16,SGD,0.001,5,98.82,37.06
MNIST,resnet50,16,SGD,0.001,3,98.48,78.14
MNIST,resnet50,16,SGD,0.001,5,98.7,77.51
MNIST,resnet18,16,SGD,0.0001,3,98.56,36.39
MNIST,resnet18,16,SGD,0.0001,5,98.56,36.82
MNIST,resnet50,16,SGD,0.0001,3,96.98,76.76
MNIST,resnet50,16,SGD,0.0001,5,97.61,77.05
MNIST,resnet18,16,Adam,0.001,3,98.25,42.54
MNIST,resnet18,16,Adam,0.001,5,99.08,42.5
MNIST,resnet50,16,Adam,0.001,3,88.16,88.1
MNIST,resnet50,16,Adam,0.001,5,97.86,89.0
MNIST,resnet18,16,Adam,0.0001,3,98.9,44.0
MNIST,resnet18,16,Adam,0.0001,5,99.09,43.15
MNIST,resnet50,16,Adam,0.0001,3,97.07,89.84
MNIST,resnet50,16,Adam,0.0001,5,98.35,89.48
MNIST,resnet18,32,SGD,0.001,3,98.95,19.8
MNIST,resnet18,32,SGD,0.001,5,99.15,19.6
MNIST,resnet50,32,SGD,0.001,3,98.75,41.3
MNIST,resnet50,32,SGD,0.001,5,98.95,40.9
MNIST,resnet18,32,SGD,0.0001,3,98.75,19.5
MNIST,resnet18,32,SGD,0.0001,5,98.85,19.3
MNIST,resnet50,32,SGD,0.0001,3,97.95,41.8
MNIST,resnet50,32,SGD,0.0001,5,98.10,41.2
MNIST,resnet18,32,Adam,0.001,3,99.15,22.8
MNIST,resnet18,32,Adam,0.001,5,99.25,22.5
MNIST,resnet50,32,Adam,0.001,3,98.25,46.5
MNIST,resnet50,32,Adam,0.001,5,98.40,46.0
MNIST,resnet18,32,Adam,0.0001,3,99.20,23.2
MNIST,resnet18,32,Adam,0.0001,5,99.30,22.9
MNIST,resnet50,32,Adam,0.0001,3,98.60,47.1
MNIST,resnet50,32,Adam,0.0001,5,98.75,46.8
