Dataset,Model,Batch_Size,Optimizer,Learning_Rate,Epochs,Test_Accuracy_%,Avg_Train_Time_s
MNIST,resnet18,16,SGD,0.001,3,98.81,37.2
MNIST,resnet18,16,SGD,0.001,5,98.82,37.06
MNIST,resnet50,16,SGD,0.001,3,98.48,78.14
MNIST,resnet50,16,SGD,0.001,5,98.7,77.51
MNIST,resnet18,16,SGD,0.0001,3,98.56,36.39
MNIST,resnet18,16,SGD,0.0001,5,98.56,36.82
MNIST,resnet50,16,SGD,0.0001,3,96.98,76.76
MNIST,resnet50,16,SGD,0.0001,5,97.61,77.05
MNIST,resnet18,16,Adam,0.001,3,98.25,42.54
MNIST,resnet18,16,Adam,0.001,5,99.08,42.5
MNIST,resnet50,16,Adam,0.001,3,88.16,88.1
MNIST,resnet50,16,Adam,0.001,5,97.86,89.0
MNIST,resnet18,16,Adam,0.0001,3,98.9,44.0
MNIST,resnet18,16,Adam,0.0001,5,99.09,43.15
MNIST,resnet50,16,Adam,0.0001,3,97.07,89.84
MNIST,resnet50,16,Adam,0.0001,5,98.35,89.48
